id,name,url,cat,domain,desc,type,size,freq,license,api,dl,reg,level,compute,projects
PH001,CERN Open Data Portal,https://opendata.cern.ch,Physics,High Energy Physics,"LHC collision data from CMS, ATLAS, ALICE, LHCb",ROOT/CSV/JSON,PB,Periodic,CC0/CC-BY-4.0,True,True,False,Advanced,GPU/HPC,Jet classification with GNNs | Anomaly detection for new physics | Foundation model pretraining on collision data
PH002,NASA Open Data Portal,https://data.nasa.gov,Physics,Astrophysics,"Thousands of NASA datasets: missions, climate, imagery",CSV/JSON/NetCDF/FITS,TB,Continuous,US Gov Open Data,True,True,False,Beginner,CPU,Exoplanet transit detection | Satellite image segmentation | Time-series anomaly detection
PH003,LIGO Open Science Center,https://gwosc.org,Physics,Gravitational Waves,"GW strain data from LIGO, Virgo, KAGRA detectors",HDF5,TB,Per observing run,CC-BY-4.0,True,True,False,Advanced,GPU,GW signal detection with CNNs | Time-series classification of mergers | Foundation model for GW astronomy
PH004,Sloan Digital Sky Survey (SDSS),https://www.sdss.org/dr18,Physics,Astronomy/Cosmology,Spectroscopic & photometric survey of 500M+ objects,FITS/CSV/SQL,100+ TB,Annual DR,CC-BY-4.0,True,True,False,Intermediate,GPU,Galaxy morphology classification | Quasar redshift prediction | Celestial knowledge graph
PH005,ESA Copernicus Hub,https://scihub.copernicus.eu,Physics,Remote Sensing,Sentinel satellite imagery for Earth observation,SAFE/GeoTIFF/NetCDF,PB,Daily,Copernicus Open,True,True,True,Intermediate,GPU,Land cover segmentation | Change detection with ViT | Digital twin of Earth surface
PH006,NOAA NCEI Climate Data,https://www.ncei.noaa.gov,Physics,Climate Physics,"Global climate, weather, and ocean data from NOAA",NetCDF/CSV/JSON,PB,Continuous,US Gov Open Data,True,True,False,Beginner,CPU,Climate trend forecasting | Extreme weather classification | Digital twin climate model
PH007,NASA EarthData,https://earthdata.nasa.gov,Physics,Remote Sensing,Multi-petabyte Earth science data from NASA missions,HDF5/NetCDF/GeoTIFF,PB,Continuous,US Gov Open Data,True,True,True,Intermediate,GPU,Sea ice extent prediction | Vegetation change detection | Climate downscaling with ML
PH008,Zenodo Open Repository,https://zenodo.org,Physics,Multi-domain,CERN-hosted open repository for all scientific data,Various,PB,Continuous,CC0/CC-BY/MIT,True,True,False,Beginner,CPU,Cross-domain scientific pretraining | Dataset augmentation | Knowledge graph construction
PH009,NIST Physical Measurement Lab,https://www.nist.gov/pml,Physics,Quantum Physics,"Atomic spectra, fundamental constants, quantum data",CSV/JSON/XML,GB,Periodic,US Gov Public Domain,True,True,False,Intermediate,CPU,Spectroscopy ML | Atomic property prediction | Physics-informed neural networks
PH010,Open Exoplanet Catalogue,https://github.com/OpenExoplanetCatalogue,Physics,Astrophysics,Community-curated catalogue of all known exoplanets,XML/CSV,MB,Continuous,MIT,True,True,False,Beginner,CPU,Habitability classification | Exoplanet property regression | Planetary systems knowledge graph
PH011,NASA Exoplanet Archive,https://exoplanetarchive.ipac.caltech.edu,Physics,Astrophysics,"Confirmed exoplanet parameters, light curves, transit data",FITS/CSV,TB,Weekly,US Gov Open Data,True,True,False,Intermediate,GPU,Transit signal detection | Atmospheric characterization | Exoplanet discovery pipelines
